doc	n_opinions	min	max	average	sd	simplified	0	1	3	4	6	7	8	9	10	11	sign_conflict?
z00282_www_aftonbladet_se_debatt_article11510488_ab	1	4	4	4.0	0.0	1					4						
z03355_www_aftonbladet_se_debatt_article10288814_ab	1	5	5	5.0	0.0	1									5		
z02388_www_aftonbladet_se_debatt_a_8a9mE_det-ar-tuffa-beslut--men-nodvandiga	1	3	3	3.0	0.0	0					3						
z01376_www_svd_se_lo-vagrar-att-forsta-invandrares-verklighet	1	3	3	3.0	0.0	0										3	
z01272_www_aftonbladet_se_debatt_article22549360_ab	1	4	4	4.0	0.0	1					4						
z04061_flashback-11651940	1	3	3	3.0	0.0	0		3									
z00307_flashback-59543868	1	2	2	2.0	0.0	-1			2								
z02915_flashback-25493497	1	3	3	3.0	0.0	0										3	
z01311_flashback-2366290	1	1	1	1.0	0.0	-1								1			
z01146_flashback-51251933	1	2	2	2.0	0.0	-1					2						
z00421_flashback-58913848	1	1	1	1.0	0.0	-1									1		
z04087_flashback-2069537	1	3	3	3.0	0.0	0		3									
z00058_flashback-58622162	1	3	3	3.0	0.0	0						3					
z00579_flashback-8806334	1	2	2	2.0	0.0	-1					2						
www_aftonbladet_se_debatt_debattamnen_politik_article19974579_ab	2	2	4	3.0	1.0	0		4								2	true
z02626_flashback-47993548	1	3	3	3.0	0.0	0									3		
z01526_flashback-53422099	1	4	4	4.0	0.0	1							4				
z00406_flashback-48132402	1	2	2	2.0	0.0	-1			2								
z03414_flashback-63039183	1	2	2	2.0	0.0	-1					2						
z03806_flashback-26092973	1	3	3	3.0	0.0	0										3	
z02512_flashback-60870344	1	3	3	3.0	0.0	0			3								
z00395_www_svd_se_fodda-i-fel-land-stangs-ute	1	4	4	4.0	0.0	1										4	
z00503_flashback-54510023	1	1	1	1.0	0.0	-1										1	
z00037_flashback-50792387	1	3	3	3.0	0.0	0			3								
z03689_flashback-60683948	1	1	1	1.0	0.0	-1										1	
z00682_flashback-58861177	1	1	1	1.0	0.0	-1									1		
z02051_www_svd_se_tala-med-stolthet-om-sveriges-insats	1	4	4	4.0	0.0	1										4	
z00991_flashback-20545832	5	1	2	1.4	0.4898979485566356	-1					1	2		2	1	1	
z04031_www_svd_se_spraket-nyckeln-till-integration	1	4	4	4.0	0.0	1		4									
z02113_flashback-54699631	1	3	3	3.0	0.0	0									3		
z00387_flashback-9562774	1	2	2	2.0	0.0	-1		2									
z00773_flashback-55250184	1	4	4	4.0	0.0	1										4	
z03392_flashback-42253774	1	2	2	2.0	0.0	-1										2	
z00669_www_svd_se_eu-bor-inte-oppna-for-att-soka-asyl-pa-plats	1	2	2	2.0	0.0	-1					2						
z03517_flashback-55154626	1	3	3	3.0	0.0	0									3		
z00683_flashback-58276969	1	2	2	2.0	0.0	-1										2	
z01322_www_svd_se_nu-pagar-slaget-om-svenskheten	1	4	4	4.0	0.0	1										4	
z00931_flashback-61321900	1	3	3	3.0	0.0	0						3					
z00014_flashback-53334610	1	3	3	3.0	0.0	0							3				
z01264_www_aftonbladet_se_debatt_article22229097_ab	7	3	4	3.857142857142857	0.34992710611188266	1		4			4	4	4	4	3	4	
z00071_flashback-27592949	1	2	2	2.0	0.0	-1										2	
z03564_flashback-54074210	1	3	3	3.0	0.0	0		3									
z01331_flashback-39528691	1	1	1	1.0	0.0	-1										1	
z01934_flashback-57088549	1	1	1	1.0	0.0	-1										1	
z03031_www_aftonbladet_se_debatt_debattamnen_politik_article12017339_ab	1	3	3	3.0	0.0	0									3		
z00435_flashback-39858	1	1	1	1.0	0.0	-1					1						
www_aftonbladet_se_debatt_article10286052_ab	2	3	5	4.0	1.0	1						3				5	
z00807_flashback-61138546	1	2	2	2.0	0.0	-1								2			
z00032_flashback-57460	1	3	3	3.0	0.0	0							3				
flashback-54985298	9	2	3	2.6666666666666665	0.4714045207910317	-1		3	2	3	2	3	3	3	3	2	
z00484_www_aftonbladet_se_debatt_article10289040_ab	1	3	3	3.0	0.0	0									3		
z00727_www_svd_se_avgorande-att-skydda-invandrarnas-foretag	1	5	5	5.0	0.0	1									5		
www_aftonbladet_se_debatt_article13180342_ab	1	3	3	3.0	0.0	0				3							
www_aftonbladet_se_debatt_article14737837_ab	7	2	5	4.285714285714286	1.0301575072754257	1		4		2	5	5	4		5	5	true
z02509_flashback-54155135	1	3	3	3.0	0.0	0									3		
z00732_flashback-49341120	1	3	3	3.0	0.0	0					3						
z00350_flashback-4933091	1	1	1	1.0	0.0	-1										1	
z01202_flashback-10834261	1	3	3	3.0	0.0	0							3				
z02996_flashback-57013137	1	3	3	3.0	0.0	0										3	
z01035_www_svd_se_stoppa-slavhandeln-med-flyktingar-i-libyen	1	5	5	5.0	0.0	1		5									
z00994_flashback-19558506	1	2	2	2.0	0.0	-1						2					
z02799_flashback-57623356	1	1	1	1.0	0.0	-1		1									
z00428_flashback-52017766	1	2	2	2.0	0.0	-1							2				
z01564_flashback-19566876	1	3	3	3.0	0.0	0									3		
z01204_flashback-50389658	1	3	3	3.0	0.0	0									3		
z03552_flashback-54870912	1	2	2	2.0	0.0	-1								2			
z02925_flashback-27352289	1	1	1	1.0	0.0	-1		1									
z03639_www_aftonbladet_se_debatt_kronikorer_martinezpeleta_article12331158_ab	1	3	3	3.0	0.0	0					3						
z02568_flashback-55328382	1	1	1	1.0	0.0	-1					1						
z01518_flashback-13796985	1	2	2	2.0	0.0	-1								2			
z01092_www_aftonbladet_se_debatt_article16274160_ab	1	4	4	4.0	0.0	1					4						
z02330_flashback-15092967	1	2	2	2.0	0.0	-1										2	
z00036_flashback-58546822	1	3	3	3.0	0.0	0		3									
z00176_flashback-58188978	1	2	2	2.0	0.0	-1							2				
www_aftonbladet_se_debatt_a_gPG3xq_sd-har-fatt-debatten-om-migration-dit-de-vill	9	3	5	4.0	0.6666666666666666	1	4	3	4	3	4	5		4	4	5	
z01863_flashback-36582174	1	1	1	1.0	0.0	-1		1									
z03234_flashback-4071828	1	2	2	2.0	0.0	-1					2						
www_aftonbladet_se_debatt_a_3j44re_integrationen-funkar--lar-av-dem-som-lyckats	1	4	4	4.0	0.0	1	4										
z02109_flashback-55588936	1	2	2	2.0	0.0	-1					2						
z02066_flashback-55724123	1	2	2	2.0	0.0	-1							2				
z02419_flashback-55394764	1	2	2	2.0	0.0	-1									2		
z00230_flashback-36686251	1	3	3	3.0	0.0	0							3				
z01660_flashback-49441384	1	2	2	2.0	0.0	-1						2					
z00845_flashback-19076532	1	1	1	1.0	0.0	-1										1	
z00898_flashback-54890260	1	3	3	3.0	0.0	0									3		
z00174_flashback-60925491	1	2	2	2.0	0.0	-1					2						
z03375_www_svd_se_fel-om-tid-for-nar-flyktingar-har-jobb	1	3	3	3.0	0.0	0		3									
z01292_flashback-1771587	1	2	2	2.0	0.0	-1							2				
z02087_flashback-59043679	1	3	3	3.0	0.0	0										3	
z01608_flashback-54843402	1	3	3	3.0	0.0	0								3			
z02535_flashback-61484053	1	3	3	3.0	0.0	0								3			
z01086_www_aftonbladet_se_debatt_article10372998_ab	1	3	3	3.0	0.0	0								3			
z00392_flashback-57398523	1	2	2	2.0	0.0	-1							2				
z01889_flashback-60076627	1	3	3	3.0	0.0	0										3	
z03952_flashback-12424841	1	3	3	3.0	0.0	0			3								
z01293_flashback-4546878	1	3	3	3.0	0.0	0								3			
z01375_flashback-59370198	1	3	3	3.0	0.0	0									3		
z00332_flashback-62656934	1	2	2	2.0	0.0	-1										2	
z02766_www_aftonbladet_se_debatt_article10308087_ab	1	3	3	3.0	0.0	0					3						
z01268_flashback-55308679	1	5	5	5.0	0.0	1										5	
z03831_www_aftonbladet_se_debatt_a_5Vz8oE_hur-kan-vi-utvisa-dem-vi-behover-som-mest	1	4	4	4.0	0.0	1								4			
z00808_flashback-55141651	1	1	1	1.0	0.0	-1									1		
z03673_www_svd_se_bor-flyktingar-kunna-soka-asyl-i-hemlandet	1	3	3	3.0	0.0	0			3								
z03913_flashback-41469	1	3	3	3.0	0.0	0									3		
z02613_flashback-51991250	1	3	3	3.0	0.0	0					3						
z00522_flashback-62960826	1	1	1	1.0	0.0	-1		1									
z00889_flashback-59809189	1	1	1	1.0	0.0	-1									1		
z03851_www_aftonbladet_se_debatt_article17848479_ab	1	4	4	4.0	0.0	1										4	
z01715_flashback-55077163	1	2	2	2.0	0.0	-1							2				
z00063_flashback-47867942	1	3	3	3.0	0.0	0		3									
z00026_flashback-64032339	1	1	1	1.0	0.0	-1										1	
z00871_flashback-54823928	1	3	3	3.0	0.0	0									3		
z02426_flashback-3471606	1	2	2	2.0	0.0	-1							2				
z00287_www_svd_se_lagstifta-om-skyldighet-att-ta-emot-flyktingar	1	4	4	4.0	0.0	1										4	
z00008_flashback-50348640	1	2	2	2.0	0.0	-1										2	
z00854_flashback-20531058	1	2	2	2.0	0.0	-1										2	
z01960_flashback-57909360	1	1	1	1.0	0.0	-1									1		
z02175_www_svd_se_miljon-som-svepskal-for-minskad-invandring	1	3	3	3.0	0.0	0								3			
z02607_flashback-61777924	1	2	2	2.0	0.0	-1								2			
z01382_www_svd_se_fem-partier-maste-nu-borja-samarbeta	1	3	3	3.0	0.0	0							3				
z00221_flashback-11848971	1	1	1	1.0	0.0	-1							1				
z01115_flashback-59953269	1	2	2	2.0	0.0	-1										2	
z00438_flashback-60091368	1	2	2	2.0	0.0	-1								2			
z02069_flashback-58142518	1	1	1	1.0	0.0	-1										1	
z02778_flashback-53096731	1	2	2	2.0	0.0	-1								2			
z00250_flashback-30949882	1	1	1	1.0	0.0	-1									1		
z00861_www_aftonbladet_se_debatt_debattamnen_samhalle_article12289591_ab	1	4	4	4.0	0.0	1								4			
z01294_flashback-55845552	1	3	3	3.0	0.0	0									3		
z00763_flashback-55458354	1	1	1	1.0	0.0	-1									1		
z01625_flashback-55902242	1	1	1	1.0	0.0	-1							1				
z00507_flashback-17684405	1	1	1	1.0	0.0	-1					1						
z02818_www_aftonbladet_se_debatt_a_6J3X8_de-offras-i-europas-iskalla-granspolitik	1	4	4	4.0	0.0	1			4								
z02897_flashback-56535866	1	2	2	2.0	0.0	-1										2	
z00088_flashback-51544800	1	1	1	1.0	0.0	-1									1		
z02702_www_aftonbladet_se_debatt_article21289166_ab	1	4	4	4.0	0.0	1		4									
z00924_flashback-4511219	1	3	3	3.0	0.0	0								3			
z02249_flashback-44016963	1	2	2	2.0	0.0	-1										2	
z00698_www_svd_se_sverige-behover-en-mer-effektiv-invandringspolitik	1	4	4	4.0	0.0	1							4				
z02291_flashback-62786485	1	3	3	3.0	0.0	0							3				
z02307_flashback-56725153	1	2	2	2.0	0.0	-1					2						
z02572_flashback-61571250	1	3	3	3.0	0.0	0									3		
z01600_www_aftonbladet_se_debatt_a_JdrV6_barn-far-ga-hungriga-till-skolan--i-sverige	1	3	3	3.0	0.0	0									3		
z01762_www_aftonbladet_se_debatt_a_RxyjJr_att-fly-for-livet-ar-inte-spannande-fritzon	1	4	4	4.0	0.0	1									4		
z01822_flashback-63834904	1	4	4	4.0	0.0	1						4					
z02483_flashback-49936829	1	3	3	3.0	0.0	0										3	
z00203_flashback-62175894	1	2	2	2.0	0.0	-1							2				
z00314_flashback-60228378	1	2	2	2.0	0.0	-1										2	
z03486_flashback-61270049	1	2	2	2.0	0.0	-1					2						
z03297_www_aftonbladet_se_debatt_debattamnen_politik_article21589737_ab	1	4	4	4.0	0.0	1					4						
z02363_flashback-56424202	1	2	2	2.0	0.0	-1							2				
z01869_flashback-58717936	1	2	2	2.0	0.0	-1								2			
z02059_www_aftonbladet_se_debatt_article10276675_ab	1	3	3	3.0	0.0	0									3		
z01349_www_aftonbladet_se_debatt_article21649990_ab	1	4	4	4.0	0.0	1										4	
z01077_flashback-40900147	1	2	2	2.0	0.0	-1								2			
z00248_flashback-60480140	1	4	4	4.0	0.0	1							4				
z01012_flashback-36693998	1	2	2	2.0	0.0	-1						2					
z03300_www_aftonbladet_se_debatt_debattamnen_medier_article19556846_ab	1	4	4	4.0	0.0	1								4			
z00919_flashback-25949450	1	2	2	2.0	0.0	-1			2								
z01675_www_svd_se_forskare-nya-asyllagar-groper-ur-var-demokrati	1	4	4	4.0	0.0	1			4								
z01227_flashback-50197230	1	2	2	2.0	0.0	-1					2						
z02982_flashback-49681576	1	2	2	2.0	0.0	-1					2						
z00097_flashback-62697866	1	1	1	1.0	0.0	-1									1		
z00118_flashback-16206250	1	3	3	3.0	0.0	0			3								
z01237_www_aftonbladet_se_debatt_article23076019_ab	1	4	4	4.0	0.0	1						4					
z00300_flashback-19926213	1	2	2	2.0	0.0	-1					2						
z01065_www_aftonbladet_se_debatt_article23038881_ab	1	4	4	4.0	0.0	1					4						
z00222_flashback-29284342	1	2	2	2.0	0.0	-1								2			
z03255_flashback-38332886	1	3	3	3.0	0.0	0								3			
z00615_flashback-57636378	1	2	2	2.0	0.0	-1					2						
z03315_flashback-61427342	1	2	2	2.0	0.0	-1					2						
z01711_www_aftonbladet_se_debatt_article22254211_ab	1	4	4	4.0	0.0	1			4								
z02742_flashback-40451297	1	1	1	1.0	0.0	-1								1			
z02096_flashback-62514002	1	1	1	1.0	0.0	-1										1	
z00791_flashback-1555273	1	2	2	2.0	0.0	-1										2	
z02628_www_aftonbladet_se_debatt_arbetsmarknad_article19625425_ab	1	2	2	2.0	0.0	-1		2									
z03941_flashback-56896875	1	2	2	2.0	0.0	-1										2	
z00690_flashback-60873951	1	2	2	2.0	0.0	-1								2			
z03882_flashback-53808922	1	2	2	2.0	0.0	-1					2						
z02336_flashback-8022212	1	2	2	2.0	0.0	-1							2				
z02554_flashback-64020665	1	3	3	3.0	0.0	0									3		
z03963_www_aftonbladet_se_debatt_debattamnen_samhalle_article12554095_ab	1	5	5	5.0	0.0	1					5						
z01815_www_aftonbladet_se_debatt_article10286447_ab	1	4	4	4.0	0.0	1								4			
z02048_flashback-19326232	1	2	2	2.0	0.0	-1							2				
z01156_www_aftonbladet_se_debatt_debattamnen_politik_article12237873_ab	1	3	3	3.0	0.0	0						3					
www_aftonbladet_se_debatt_a_3aL4q_jag-skrams-av-hatet-som-nu-sprids	8	2	5	3.875	0.9270248108869579	1		4		2	3	4	4	5	4	5	true
z00372_flashback-8433954	1	2	2	2.0	0.0	-1					2						
z00907_flashback-60306052	1	1	1	1.0	0.0	-1									1		
z01530_www_aftonbladet_se_debatt_debattamnen_samhalle_article12557721_ab	1	4	4	4.0	0.0	1		4									
z00075_www_svd_se_sd-ta-bort-mojlighet-att-soka-asyl-vid-gransen	1	2	2	2.0	0.0	-1					2						
z02177_flashback-54058469	1	1	1	1.0	0.0	-1										1	
z03444_flashback-60674519	1	2	2	2.0	0.0	-1								2			
z02092_www_aftonbladet_se_debatt_article21363713_ab	1	5	5	5.0	0.0	1						5					
z01709_flashback-29299528	1	2	2	2.0	0.0	-1										2	
z00672_flashback-2323142	1	3	3	3.0	0.0	0								3			
z02429_www_svd_se_miljoskal-talar-for-mer-begransad-invandring	1	2	2	2.0	0.0	-1										2	
z00787_flashback-54901547	1	2	2	2.0	0.0	-1						2					
z01405_flashback-58210012	1	2	2	2.0	0.0	-1			2								
z02829_flashback-49111034	1	2	2	2.0	0.0	-1					2						
z01247_flashback-59592315	1	3	3	3.0	0.0	0							3				
z02086_flashback-61873177	1	4	4	4.0	0.0	1									4		
z03391_flashback-54693365	1	2	2	2.0	0.0	-1									2		
z00887_flashback-6548400	1	4	4	4.0	0.0	1							4				
z04052_flashback-60253446	1	2	2	2.0	0.0	-1		2									
z01150_flashback-25637232	1	3	3	3.0	0.0	0									3		
z03311_flashback-25883172	1	3	3	3.0	0.0	0										3	
z03545_flashback-64205415	1	3	3	3.0	0.0	0										3	
z00813_www_svd_se_sd-helt-otillrackligt-for-att-losa-flyktingkrisen	1	2	2	2.0	0.0	-1					2						
z01209_flashback-1144336	1	3	3	3.0	0.0	0					3						
z00053_flashback-17328238	1	3	3	3.0	0.0	0										3	
z02730_flashback-22049819	1	2	2	2.0	0.0	-1					2						
z01545_www_aftonbladet_se_debatt_debattamnen_politik_article12049791_ab	1	2	2	2.0	0.0	-1								2			
z02364_flashback-38429216	1	2	2	2.0	0.0	-1								2			
www_svd_se_utbredd-diskriminering-inom-eu	1	4	4	4.0	0.0	1										4	
z00430_flashback-56083589	1	1	1	1.0	0.0	-1									1		
z02010_flashback-57389683	1	2	2	2.0	0.0	-1					2						
z02735_www_aftonbladet_se_debatt_debattamnen_politik_article20237788_ab	1	3	3	3.0	0.0	0										3	
z01148_flashback-49434577	1	2	2	2.0	0.0	-1							2				
z00792_flashback-54307378	1	1	1	1.0	0.0	-1		1									
z01492_flashback-58216174	1	3	3	3.0	0.0	0									3		
z02158_www_svd_se_tvang-att-ta-emot-flyktingar-loser-inte-problemen	1	3	3	3.0	0.0	0									3		
z03846_www_svd_se_omojligt-for-nyanlanda-att-stanna-i-solna	1	4	4	4.0	0.0	1					4						
z02763_flashback-49721842	1	1	1	1.0	0.0	-1		1									
z00553_www_aftonbladet_se_debatt_a_Rxqb98_vi-utvisar--andra-lander-tackar-och-tar-emot	1	5	5	5.0	0.0	1						5					
z01490_flashback-54675071	1	2	2	2.0	0.0	-1							2				
z01814_www_svd_se_sd-lakare-bor-gora-aldersbedomningar	1	3	3	3.0	0.0	0							3				
z00692_flashback-59858049	1	2	2	2.0	0.0	-1										2	
z01392_flashback-54861492	1	2	2	2.0	0.0	-1								2			
z02716_flashback-63475384	1	3	3	3.0	0.0	0									3		
z02084_flashback-58271973	1	2	2	2.0	0.0	-1							2				
z01898_flashback-61138330	1	3	3	3.0	0.0	0										3	
z01924_www_svd_se_integration-kraver-politisk-handlingskraft	1	3	3	3.0	0.0	0									3		
z03538_flashback-14612901	1	2	2	2.0	0.0	-1			2								
z03546_flashback-59274882	1	2	2	2.0	0.0	-1		2									
z01916_flashback-41209335	1	2	2	2.0	0.0	-1										2	
z00619_flashback-41940197	1	3	3	3.0	0.0	0									3		
z00024_flashback-26202666	1	3	3	3.0	0.0	0								3			
z01759_flashback-55574018	1	3	3	3.0	0.0	0						3					
z04013_flashback-50138430	1	5	5	5.0	0.0	1		5									
z00095_flashback-6093779	1	2	2	2.0	0.0	-1							2				
z03868_flashback-32358442	1	1	1	1.0	0.0	-1									1		
z02067_www_svd_se_fel-aspekter-avgor-vem-som-blir-utvisad	1	4	4	4.0	0.0	1								4			
z00010_flashback-61310860	1	4	4	4.0	0.0	1			4								
z00864_flashback-9222160	1	2	2	2.0	0.0	-1		2									
z02326_flashback-55419566	1	3	3	3.0	0.0	0						3					
z01914_www_aftonbladet_se_debatt_a_mOOGv_alderstesterna-baddar-for-livsfarliga-misstag	1	4	4	4.0	0.0	1								4			
z01377_www_aftonbladet_se_debatt_article22578337_ab	1	2	2	2.0	0.0	-1		2									
z00529_www_aftonbladet_se_debatt_article10896130_ab	1	3	3	3.0	0.0	0									3		
z00213_flashback-55004256	1	3	3	3.0	0.0	0								3			
z00968_flashback-5966169	1	2	2	2.0	0.0	-1							2				
z03585_flashback-55181905	1	2	2	2.0	0.0	-1					2						
z00482_flashback-46981407	1	3	3	3.0	0.0	0							3				
z03752_flashback-58580399	1	2	2	2.0	0.0	-1										2	
z00475_flashback-16954739	1	1	1	1.0	0.0	-1									1		
z03962_www_aftonbladet_se_debatt_debattamnen_politik_article12106609_ab	1	2	2	2.0	0.0	-1				2							
z03607_flashback-41376856	1	1	1	1.0	0.0	-1									1		
z00422_flashback-3988833	1	3	3	3.0	0.0	0										3	
z03230_www_svd_se_mp-de-borgerliga-sviker-de-ensamkommande	1	4	4	4.0	0.0	1										4	
z02743_flashback-57445895	1	2	2	2.0	0.0	-1									2		
z00859_flashback-63076353	1	3	3	3.0	0.0	0						3					
z01430_flashback-62771314	1	1	1	1.0	0.0	-1										1	
z01717_flashback-29947271	1	3	3	3.0	0.0	0									3		
z03990_flashback-331968	1	4	4	4.0	0.0	1					4						
z02111_www_svd_se_fel-att-flyktingar-utvisas-till-irak	1	4	4	4.0	0.0	1							4				
z02165_flashback-64172023	2	2	3	2.5	0.5	-1									3	2	
z00700_www_aftonbladet_se_debatt_debattamnen_samhalle_article17503637_ab	1	3	3	3.0	0.0	0									3		
z00084_www_aftonbladet_se_debatt_debattamnen_politik_article16296371_ab	1	3	3	3.0	0.0	0					3						
z03257_flashback-50319585	1	2	2	2.0	0.0	-1										2	
z00814_flashback-58488168	1	3	3	3.0	0.0	0						3					
flashback-9588730	7	1	3	2.2857142857142856	0.6998542122237652	-1		3			2	3	3	2	1	2	
z02199_flashback-60865706	1	2	2	2.0	0.0	-1					2						
z00202_flashback-60047341	1	2	2	2.0	0.0	-1						2					
z00337_flashback-37792346	1	1	1	1.0	0.0	-1						1					
z01839_flashback-27164146	1	2	2	2.0	0.0	-1					2						
z00456_flashback-60418792	1	3	3	3.0	0.0	0								3			
z03049_flashback-44148265	1	3	3	3.0	0.0	0									3		
z03042_www_aftonbladet_se_debatt_debattamnen_politik_article20703797_ab	1	4	4	4.0	0.0	1		4									
z00394_flashback-59692401	1	1	1	1.0	0.0	-1									1		
z01958_flashback-58022519	1	1	1	1.0	0.0	-1							1				
z00260_flashback-61813021	1	2	2	2.0	0.0	-1										2	
z02968_flashback-51956152	1	2	2	2.0	0.0	-1									2		
z02546_flashback-59384166	1	2	2	2.0	0.0	-1										2	
z00002_flashback-56111790	1	2	2	2.0	0.0	-1				2							
z01994_flashback-49327269	1	2	2	2.0	0.0	-1							2				
z00378_www_aftonbladet_se_debatt_article22957936_ab	1	3	3	3.0	0.0	0		3									
z02145_flashback-60355080	1	3	3	3.0	0.0	0					3						
z02146_flashback-54933404	1	3	3	3.0	0.0	0						3					
z02906_flashback-19417309	1	3	3	3.0	0.0	0										3	
z03221_flashback-56263444	1	2	2	2.0	0.0	-1										2	
z01329_www_aftonbladet_se_debatt_debattamnen_politik_article20271779_ab	1	2	2	2.0	0.0	-1								2			
z00574_flashback-56076844	1	1	1	1.0	0.0	-1									1		
z01467_flashback-50603677	1	2	2	2.0	0.0	-1		2									
z01418_flashback-63848932	1	3	3	3.0	0.0	0							3				
z00374_flashback-54645767	1	3	3	3.0	0.0	0							3				
z00691_www_svd_se_vi-ska-inte-ha-en-utlandsk-modell-och-en-svensk-modell	1	4	4	4.0	0.0	1									4		
z02070_www_aftonbladet_se_debatt_a_Eoqb32_tack--da-vet-vi-att-ni-vill-ha-mer-segregation	1	3	3	3.0	0.0	0		3									
z01161_flashback-58942871	1	2	2	2.0	0.0	-1		2									
z03216_flashback-45100133	1	2	2	2.0	0.0	-1					2						
z02138_www_aftonbladet_se_debatt_a_O5E9q_vi-star-upp-for-godhet--och-mots-av-forakt	1	4	4	4.0	0.0	1							4				
z01366_www_aftonbladet_se_debatt_article23423392_ab	1	5	5	5.0	0.0	1									5		
z00073_flashback-56132226	1	1	1	1.0	0.0	-1			1								
z02879_www_aftonbladet_se_debatt_debattamnen_politik_article11993103_ab	1	4	4	4.0	0.0	1										4	
z00138_flashback-30186562	1	3	3	3.0	0.0	0					3						
z02123_flashback-60364757	1	3	3	3.0	0.0	0										3	
z01686_flashback-43882678	1	4	4	4.0	0.0	1					4						
z02833_flashback-63597612	1	1	1	1.0	0.0	-1									1		
z01304_flashback-55624915	1	1	1	1.0	0.0	-1										1	
z00423_flashback-12928077	1	3	3	3.0	0.0	0		3									
z02543_flashback-52163397	1	3	3	3.0	0.0	0							3				
z01791_flashback-61580085	1	1	1	1.0	0.0	-1		1									
z01543_flashback-57861163	1	3	3	3.0	0.0	0						3					
z00962_www_svd_se_trottsam-mytbildning-om-ett-rasistiskt-sverige	1	3	3	3.0	0.0	0										3	
z02707_flashback-61111083	1	3	3	3.0	0.0	0									3		
z01659_flashback-54988257	1	2	2	2.0	0.0	-1					2						
z02690_flashback-63698084	1	2	2	2.0	0.0	-1										2	
z00588_flashback-31940918	1	1	1	1.0	0.0	-1					1						
z03066_flashback-39895584	1	2	2	2.0	0.0	-1					2						
z03789_flashback-61674554	1	2	2	2.0	0.0	-1		2									
z02239_flashback-52641602	1	3	3	3.0	0.0	0									3		
z00027_flashback-57855291	1	3	3	3.0	0.0	0		3									
z02337_flashback-59937261	1	2	2	2.0	0.0	-1								2			
z01130_flashback-53646337	1	2	2	2.0	0.0	-1							2				
www_aftonbladet_se_debatt_a_rLK41a_hur-ska-invandrare-bli-svenskar--utan-oss	1	3	3	3.0	0.0	0	3										
www_aftonbladet_se_debatt_a_052WM_skyll-inte-manggiftet-pa-nacka-kommun	6	1	3	2.3333333333333335	0.7453559924999298	-1	2		3		2	3			1	3	
z00724_flashback-62743716	1	1	1	1.0	0.0	-1						1					
z02361_www_aftonbladet_se_debatt_a_J8rP8_kinberg-batra-ar-bara-ute-efter-sds-valjare	1	3	3	3.0	0.0	0					3						
z01321_www_aftonbladet_se_debatt_a_62OQr_nej-vi-ar-inte-overens-om-landets-problem-s	1	3	3	3.0	0.0	0									3		
z03473_flashback-32900537	1	1	1	1.0	0.0	-1										1	
z01635_flashback-55739008	1	2	2	2.0	0.0	-1								2			
z01014_flashback-18532189	1	2	2	2.0	0.0	-1								2			
z01943_flashback-53037029	1	5	5	5.0	0.0	1										5	
z00913_flashback-6951930	1	3	3	3.0	0.0	0						3					
z00033_flashback-56280833	1	2	2	2.0	0.0	-1								2			
z04022_flashback-52872622	1	1	1	1.0	0.0	-1		1									
z01824_flashback-57657420	1	2	2	2.0	0.0	-1								2			
z03923_flashback-37496471	1	2	2	2.0	0.0	-1										2	
